District Name,County,Affordability & Value Score,Performance Index Score 2023-2024,Median Home Value,MEDIAN OHIO ADJUSTED GROSS INCOME,Total Local Tax Burden,Total Students
Leetonia Exempted Village School District,Columbiana,152.69666490563398,92.1,125546.37671462027,35859.0,2.5408230302465005,487
Ansonia Local,Darke,152.4527540731935,94.3,209496.89281117855,39309.0,2.266091814286307,795
Brecksville-Broadview Heights City,Cuyahoga,152.03602938891942,106.8,305067.9901477833,58755.0,3.299060746657863,3636
Western Reserve Local,Mahoning,151.78560226872526,96.2,221274.78236049667,43798.0,2.800717150236974,538
Pandora-Gilboa Local,Putnam,151.29126295281398,93.0,242146.31101991964,46231.0,2.0927237466074544,507
Lake Local,Stark,150.95150913527115,101.7,234514.6259533181,47657.5,3.089974507608922,3196
Hardin-Houston Local,Shelby,150.5586832457605,92.7,208240.9766323448,44460.5,2.3275203764820662,681
Minford Local,Scioto,150.53216793717573,82.4,124449.26268781691,41408.0,2.2710901121043716,1179
Leipsic Local,Putnam,150.2872540429647,92.1,205522.08713272546,41811.0,2.4088368522705794,631
West Branch Local,Mahoning,149.67869077694743,93.6,170492.3742251694,38137.0,2.300268295277653,1730
Pleasant Local,Marion,149.42734845853244,89.0,180478.13744511388,42661.5,2.4733992757832493,1238
Cedar Cliff Local,Greene,149.07079344305623,96.3,226414.126984127,41886.0,2.4554682389563607,544
Marysville Exempted Village,Union,148.97242818637164,94.5,182425.28916190588,53974.0,2.85355343909093,5352
Westlake City,Cuyahoga,148.18556137254194,99.9,338867.10561762145,58584.0,2.4892810774688843,3264
Tuslaw Local,Stark,147.78237286369318,98.5,235786.4219846206,46084.0,2.77960828046945,1206
Wapakoneta City,Auglaize,147.61640761592167,89.1,173421.1186665062,42456.0,2.2082661518903057,2827
Loveland City,Hamilton,147.58280128657373,101.9,273918.15745636274,63094.5,3.4863481949934583,4031
Indian Valley Local,Tuscarawas,147.32572878918253,92.6,138909.8277162978,39813.0,2.8116922637838577,1626
Hudson City,Summit,147.07897419790066,106.9,370509.85197711317,82221.0,4.003583412193813,4446
Pettisville Local,Fulton,146.97524348064022,98.2,208316.02411327633,43373.0,2.903981801522409,476
Green Local,Wayne,146.88841634387737,94.7,203260.28762020275,43755.0,2.9006579789553304,1006
Beaver Local,Columbiana,146.80825025639132,92.4,170059.21026846956,40603.0,2.5928359805237964,1665
Riverside Local,Logan,146.72630020334537,84.7,169308.49465954606,41482.0,2.2894349737447706,534
Madeira City,Hamilton,146.6505536753912,106.5,381538.1216564296,84251.0,4.273710724013369,1739
Chagrin Falls Exempted Village,Cuyahoga,146.5462306061515,111.0,420893.3375567522,74839.0,4.114575402855334,1616
Covington Exempted Village,Miami,146.34247527820145,88.7,169216.88641587034,41507.0,2.391288963949465,731
Hopewell-Loudon Local,Seneca,146.04920774521278,97.3,235143.55163553025,43564.0,2.953232184666091,717
Shadyside Local,Belmont,145.9719591224571,90.3,156504.54652255643,41042.0,2.4309022272374325,692
East Muskingum Local,Muskingum,145.8112673923689,96.5,219538.33572169792,44099.0,2.553701046115872,2029
Perry Local,Stark,145.53248848878687,92.0,184146.46768718376,41102.5,2.8577412390510935,4181
Fairbanks Local,Union,145.35560048535118,99.1,330571.0659689316,54235.5,2.750028757447901,1028
Wayne Local,Warren,145.34182996094682,102.4,280174.1154449946,52504.0,3.013164887977428,1503
Kenston Local,Geauga,145.03302888978178,104.8,358269.3575655114,66741.0,3.261635775355407,2513
Green Local,Summit,145.02252867636366,98.7,238747.86256781194,49052.0,2.988433878730875,3807
New Albany-Plain Local,Franklin,144.64923310873877,104.5,409491.5373747244,78376.5,3.615988901681101,4934
Fairlawn Local,Shelby,144.58897963213445,96.0,254933.76623376625,43997.0,2.5236332630824907,511
Georgetown Exempted Village,Brown,144.3829631137948,89.4,178402.98537367262,37536.0,2.2695641021365613,934
Avon Local,Lorain,143.95322154914552,101.8,325242.69479192223,64445.0,3.4350509796604873,4385
Oak Hills Local,Hamilton,143.92033681907174,93.7,136283.078923951,49439.0,2.620660332101548,7235
Bloom-Carroll Local,Fairfield,143.8052010303126,93.0,267553.70626700396,58309.0,2.3711257841566407,2244
Williamsburg Local,Clermont,143.73475682615955,96.0,172804.84914325218,41984.5,2.989441243234546,936
New Riegel Local,Seneca,143.50433317705375,94.9,226155.2781289507,43805.0,2.3778023472522425,390
Lynchburg-Clay Local,Highland,143.5023653036119,90.7,198861.66970757928,39434.0,2.2298417458412625,1002
Forest Hills Local,Hamilton,143.2108362315986,101.5,244288.42165134137,64549.0,3.6385714597099037,6843
Delphos City,Allen,142.54708339783681,93.2,174484.1828188562,41317.0,2.514165921763236,863
Orange City,Cuyahoga,142.49478457689088,105.3,596225.2196280174,93655.0,3.4856256236867207,1987
Aurora City,Portage,142.4032570075692,104.2,356632.79609279614,64578.0,3.76041491810411,2997
Garaway Local,Tuscarawas,142.3130171568744,95.6,189116.7927222722,41447.0,3.030787007182705,1051
Chardon Local,Geauga,142.10811653682342,101.9,241005.59073920266,49529.0,3.2910485949542005,2488
Liberty Union-Thurston Local,Fairfield,142.00094220250426,89.2,218620.2651587514,46929.5,2.3410236469439347,1164
North Canton City,Stark,141.89047346152844,99.7,217873.60741148744,46865.5,3.0698600668837344,4348
Solon City,Cuyahoga,141.6802687793575,111.1,400942.9555822329,65000.0,4.496350167704417,4565
Bay Village City,Cuyahoga,141.57706884520223,106.1,326596.6286353071,70798.5,4.116158247427712,2364
Colonel Crawford Local,Crawford,141.45191311083076,92.7,225394.77351916378,42986.0,2.5690773211277613,886
Ridgewood Local,Coshocton,141.32244007549798,87.0,162805.931283906,38827.0,2.293205610559678,1206
Sycamore Community City,Hamilton,141.0463152811791,105.4,392563.58418019174,70404.5,3.3779636527467223,5849
Tipp City Exempted Village,Miami,141.00182972139845,98.6,216861.43854875286,49644.0,3.5024449693526027,2342
St Marys City,Auglaize,140.54957007275226,86.5,163258.28188979652,43440.5,2.6350326462230993,1884
Valley View Local,Montgomery,140.2568454405871,87.0,193293.53423612437,47564.5,2.3234889534142975,1722
Warren Local,Washington,139.9904142190598,89.7,157695.41652726667,43234.0,2.710804464456786,1972
Indian Hill Exempted Village,Hamilton,139.92730699903692,104.1,809693.1488012066,94710.0,2.243939309720368,2114
Green Local,Scioto,139.79170380220367,83.5,140066.06389391198,40370.0,2.441717247795844,479
Buckeye Local,Medina,139.57686739174133,95.1,258272.89857813387,50867.5,2.98186797692301,2075
Bellevue City,Huron,139.27882606674038,92.0,187027.12917309237,39476.0,2.823032223003493,1737
River Valley Local,Marion,139.08528691583874,87.2,191184.84840835084,41698.5,2.3454122530187123,1838
Clinton-Massie Local,Clinton,138.931198619704,89.6,257425.83781310765,48305.0,2.2439236333870154,1631
Bellbrook-Sugarcreek Local,Greene,138.89928365989778,101.6,290288.6417133575,63971.0,3.381719838294602,2583
Weathersfield Local,Trumbull,138.54188118234103,99.9,124168.17117308921,37434.0,3.3724519886858983,907
Louisville City,Stark,138.37977444724183,94.5,187663.29703550608,43001.0,3.039740945110859,2767
Rittman Exempted Village,Wayne,138.31067535818144,89.5,137463.2006151743,40282.0,3.06612319547423,801
Jackson Local,Stark,137.82466112163476,99.0,312983.68294267316,50163.0,2.7262233253583763,5741
Poland Local,Mahoning,137.72872702579207,97.2,212230.67802755622,48814.0,3.3832412926925426,1730
Benton Carroll Salem Local,Ottawa,137.72190789252758,97.0,256809.10794707545,44311.0,2.9318106307132843,1237
