District Name,County,Affordability & Value Score,Performance Index Score 2023-2024,Median Home Value,MEDIAN OHIO ADJUSTED GROSS INCOME,Total Local Tax Burden,Total Students
Plymouth-Shiloh Local,Richland,120.28107478692543,85.9,143196.07591690175,36450.0,2.647674730544015,644
Central Local,Defiance,120.09040973944806,90.9,211792.36838187865,40097.0,2.5031224844669575,894
Northern Local,Perry,119.94313338067968,88.9,227288.07811207388,46483.0,2.4116425563153463,2181
Rock Hill Local,Lawrence,119.88983518896448,77.2,127667.6674364896,36900.0,2.388743360028675,1280
Mathews Local,Trumbull,119.79400392210917,85.3,183586.42448979593,40531.0,2.9829378650281786,576
Troy City,Miami,119.76893598715905,91.1,188147.2379170803,45610.0,2.693792907822944,3915
Crooksville Exempted Village,Perry,119.76006460572563,70.6,114361.26410835216,39978.0,2.407215555456851,1050
Cardington-Lincoln Local,Morrow,119.56160028253406,80.3,202076.28904084273,42548.0,2.2698231374459934,957
Huntington Local,Ross,119.50226617052793,75.1,109856.41054091539,39688.0,2.2754149230593805,1000
Tallmadge City,Summit,119.47039589977015,89.2,200231.63550397594,45702.0,3.371044535134034,2393
East Palestine City,Columbiana,119.26296391647031,80.4,120588.41512469831,36257.5,2.222624884026535,939
Danville Local,Knox,119.24570163582855,86.8,209474.8307481361,36167.0,2.331535834781464,584
Gibsonburg Exempted Village,Sandusky,119.18614846509581,82.6,176312.5718708536,42327.0,2.5184004654088974,715
Union-Scioto Local,Ross,119.18293247822156,85.7,153133.64926298388,42018.0,2.371174925509147,2019
Clyde-Green Springs Exempted Village,Sandusky,118.9942302778471,88.0,157555.29252146248,38126.0,2.9539512024883274,1952
Eastern Local School District,Brown,118.9664138820568,91.4,259199.0510786567,41324.0,2.308911516186655,1035
Shelby City,Richland,118.8512808755559,89.6,133348.48827809215,37967.5,3.2698483576495914,1809
Plain Local,Stark,118.75506257580746,90.8,195589.4991997944,40381.0,2.2488166869364825,5794
Lakewood City,Cuyahoga,118.7456296351041,94.2,183539.46064193346,49419.5,3.3798677834078403,4313
Talawanda City,Butler,118.6903234972919,88.2,264037.1124490665,42886.5,2.334005098656776,2786
Fairview Park City,Cuyahoga,118.5837914833664,94.7,190401.71794225194,51153.0,4.105041024275801,1428
Felicity-Franklin Local,Clermont,118.45743262955139,85.3,138202.9675959811,39580.0,2.395029587782251,634
Kings Local,Warren,118.2024724731443,96.7,276771.4267235804,55925.0,3.7330607530558133,4845
Napoleon Area City,Henry,118.13280290310462,94.2,170393.4119655467,40065.0,3.4305996121204343,1746
New Lebanon Local School District,Montgomery,118.06803110738096,80.9,137194.3032427695,37529.0,2.361352135432723,1061
James A Garfield Local,Portage,118.01968165447786,89.1,191015.48932175545,39056.5,2.3750910322703525,1180
Cuyahoga Heights Local,Cuyahoga,117.78515870809223,102.7,497921.34599504544,44223.0,3.1601017552006763,771
Monroeville Local,Huron,117.7146470085783,82.3,204843.47278578425,45024.0,2.7395148759367496,548
Crestview Local,Richland,117.58074114892405,86.1,171535.1901012374,40216.5,3.2062257742878955,893
Centerville City,Montgomery,117.39331933009764,95.4,246190.5670981149,57275.0,3.9352873191803415,8075
Jackson City,Jackson,117.32085568345288,88.5,167389.57721667647,39168.0,2.2495204445274255,2217
Loudonville-Perrysville Exempted Village,Ashland,117.22682918509055,87.7,191539.66709149192,37619.5,2.9682238419473865,846
Firelands Local,Lorain,116.99074335637944,91.9,232115.93114096747,45122.5,2.867887756471819,1677
Mentor Exempted Village,Lake,116.58161835526121,93.6,231195.83286484057,48698.0,3.130340352026553,6946
Vinton County Local,Vinton,116.42668915732499,81.1,168586.49463334933,38011.0,2.069999130991278,1662
Brunswick City,Medina,116.41538377967102,91.8,184674.02643801356,47386.5,3.7045127485510534,5825
Mapleton Local,Ashland,116.39002503859426,81.4,191077.92792792793,40714.0,2.3931594909400897,809
Eastern Local School District,Pike,116.29244441588482,82.4,138447.37042392878,36875.0,2.3308998637947473,738
Genoa Area Local,Ottawa,116.26723943570248,89.5,187546.82997118155,47423.0,3.334720307599346,1240
Lebanon City,Warren,116.1341535856972,91.0,250190.80190284597,51219.0,3.083519224679015,4951
Mississinawa Valley Local,Darke,116.10767690382697,88.3,211775.23695670738,35262.0,2.225348813592164,596
Upper Scioto Valley Local,Hardin,115.9709571142331,78.7,200673.33281090824,38757.0,2.2765006990936345,390
Boardman Local,Mahoning,115.92529267670335,93.6,177855.14865652658,38649.5,3.50817856391895,3626
Celina City,Mercer,115.85820984033481,87.9,196888.87951934227,39971.5,2.744659714209057,2619
Lakota Local,Butler,115.68055113124073,94.6,282959.28401008,59421.0,2.817374031355998,17023
New Richmond Exempted Village,Clermont,115.66780566329146,86.1,210453.42441526288,46156.0,2.8110978953295738,1973
Manchester Local,Adams,115.49043433782766,80.8,131527.01807995926,34509.5,2.2254463803120106,662
Edison Local (formerly Berlin-Milan),Erie,115.27855880018687,94.0,213505.05541871922,41009.0,3.5381407920857066,1409
Minerva Local,Stark,115.2409389324895,86.8,165027.2248029647,37879.0,2.803922614248808,1616
Wellston City,Jackson,115.13942755310018,78.8,118566.95582968564,36435.0,2.2209953534666846,1213
Findlay City,Hancock,114.94614135721184,87.0,146232.80976588166,39933.5,2.981025821838388,5280
Wolf Creek Local,Washington,114.93333098180042,84.4,157629.71567267683,42517.0,3.291377401138945,584
Riverside Local,Lake,114.24787910490717,90.5,235615.34060960443,51817.0,2.5835988194841653,4106
Jackson-Milton Local,Mahoning,113.91737983376704,94.3,302451.6857142857,39906.0,2.7041478255285947,761
East Holmes Local,Holmes,113.76301301156657,98.0,263298.34867393516,37946.5,2.288878838461127,1472
North Ridgeville City,Lorain,113.59816271160021,91.6,230101.49398453056,53894.0,2.99097560041568,4443
Maysville Local,Muskingum,113.55161007039682,78.9,174471.58413807274,37447.5,2.3260752664184743,1915
Van Wert City,Van Wert,113.52244032278679,81.1,145419.04214008345,36754.0,2.592797054460588,2007
New London Local,Huron,113.37317126773749,82.9,177015.523465704,39620.0,2.341106128052031,858
Bowling Green City School District,Wood,113.28056554189045,88.1,179503.6676177883,36423.0,2.7796960888485924,2459
Sylvania Schools,Lucas,113.23851785264762,94.1,233063.27866005345,52305.5,3.434834927653316,7826
Medina City SD,Medina,113.09521261849886,95.7,224365.9108913268,51482.0,4.294364144787809,5942
Strasburg-Franklin Local,Tuscarawas,112.79187149050436,86.8,189150.16168917637,42524.5,2.835839613213941,513
Ironton City School District,Lawrence,112.78221369474937,80.8,122668.47313237222,33165.0,2.2494369720160208,1285
Cory-Rawson Local,Hancock,112.63164955694016,77.2,229688.63311517343,44081.5,2.1352974376005722,479
Licking Valley Local,Licking,112.60706486300664,84.1,217186.48545648155,45372.0,2.279960078066381,2009
Yellow Springs Exempted Village,Greene,112.42975747010932,93.7,275416.7209971237,44736.5,3.1596134025559546,598
Northmont City,Montgomery,112.33623470660106,89.0,165034.97089639114,45501.0,3.796935971531045,4644
Miami Trace Local,Fayette,112.14521196717706,90.0,288692.45441795234,40106.0,2.5713795357346645,2293
Southeast Local,Wayne,112.07492515916357,90.2,217021.37344463696,35898.0,3.082621264743665,1189
Olmsted Falls City,Cuyahoga,112.0681874077504,92.7,195630.18400486477,49825.0,4.2699473275033855,3315
Oak Hill Union Local,Jackson,111.81421951669239,82.8,132884.02332361517,36349.0,2.15999895601503,1122
Northwestern Local,Clark,111.77928107054352,82.7,168170.87687035024,41919.0,2.8363223717886945,1541
Western Reserve Local,Huron,111.65077154539817,82.7,180193.70707417585,40927.0,2.3187997694715885,964
Highland Local,Morrow,111.6243500746078,86.6,257610.64977715226,44170.0,2.1176234109656242,1691
LaBrae Local,Trumbull,111.56773076889151,83.7,124846.60246120922,35811.0,2.662869045606623,998
Rootstown Local,Portage,111.53936439374941,85.1,199517.31747097766,45292.5,3.2740946900183885,936
Hubbard Exempted Village,Trumbull,111.18822710932965,85.4,131054.02449224699,37886.5,3.361582895924273,1729
Southwest Licking Local,Licking,111.14060286325996,89.7,285955.8263146145,51011.0,2.5701528622147602,4793
Frontier Local,Washington,111.08862596502134,81.5,131160.90370574463,39063.0,2.40347690114287,527
Margaretta Local,Erie,110.89610173613566,88.6,201474.7342066113,40256.0,3.531446051334761,1053
Mount Vernon City,Knox,110.74250777564278,91.5,186196.0125471849,39012.0,3.0831620142295506,3380
Waverly City,Pike,110.58070399930916,73.4,154940.9482146408,39508.5,2.3340822870655287,1657
Batavia Local,Clermont,110.44866339556624,84.4,164287.85994968502,46158.0,2.827993175438536,2359
Lake Local,Wood,110.38485206065722,84.2,164242.9747207525,43022.0,3.205679140359248,1532
Northeastern Local,Clark,110.35463361672396,82.9,167364.69024195694,45539.5,2.5297511637774077,2950
Edison Local,Jefferson,110.01998364292204,89.1,171133.3165714286,41803.0,3.0514641604434183,1376
Field Local,Portage,109.90456004839497,89.3,231991.01646499988,44877.0,2.8359012581985534,1904
West Holmes Local,Holmes,109.81136833212976,88.1,192730.88461407047,37705.0,2.4068150387725002,1729
South Point Local,Lawrence,109.67521016905526,76.1,153546.67313122094,35797.5,2.2259529036871912,1338
Southington Local,Trumbull,109.64640368206958,88.5,154736.81910157832,38901.0,2.5339929333161764,415
Ridgemont Local,Hardin,109.20648216842359,80.9,253672.25736095966,43108.0,2.296702857210074,449
Sandy Valley Local,Stark,109.1126452296784,86.3,172536.10496830312,38539.0,2.654568171517667,1224
Edon Northwest Local,Williams,109.05150715352276,90.6,234411.92713326943,41035.0,2.2872499938342323,520
Paint Valley Local,Ross,108.99595962462041,77.1,148308.79255164388,39312.5,2.281017094511248,740
Northridge Local,Licking,108.77738802300692,87.4,304387.73595793796,51030.0,2.721091256621746,1148
Marlington Local,Stark,108.71529334554187,85.3,238466.8714225883,40666.0,2.3421720315626873,1825
Adams County Ohio Valley Local,Adams,108.69305686583262,79.9,130850.40220773884,34507.0,2.1002237724269954,3449
Vandalia-Butler City,Montgomery,108.35975994633935,88.7,204124.12109713917,45209.5,3.4601236582544033,2810
Black River Local,Medina,108.23522483569839,87.8,201722.1238938053,42838.5,2.9372338084205847,968
Indian Lake Local,Logan,108.16567900700747,91.2,302080.41856557276,40655.5,2.7405968962099476,1364
Barnesville Exempted Village,Belmont,108.12528273078495,84.2,193414.50760479283,38424.0,2.5537172271819872,1286
Logan Elm Local,Pickaway,107.87638774457653,87.0,248648.63536597008,44872.0,2.5688755157273984,1647
River View Local,Coshocton,107.76134726340989,83.6,208603.93395107813,39667.0,2.3699301681853657,1581
West Muskingum Local,Muskingum,107.56161942265412,86.1,226287.4935446139,40438.5,2.6948995702815037,1588
Canal Winchester Local,Franklin,107.33264146564557,86.2,229863.1309142802,50766.0,3.200674286282058,3658
Tiffin City Schools,Seneca,107.17514224121982,83.0,131072.1685349826,36874.0,3.0196155289679836,2397
Girard City School District,Trumbull,106.92035434271526,81.8,100255.9105889096,33423.5,2.7905211604922173,1510
Mayfield City,Cuyahoga,106.89873265378446,96.0,282961.84067587316,49176.0,4.404919210660452,4032
Howland Local,Trumbull,106.645178123355,91.7,196421.49911816578,40075.0,3.6233362788821313,2359
Crestwood Local,Portage,105.95567858902903,83.5,217342.24905789655,46184.0,2.5844826670905654,1319
Orrville City,Wayne,105.94941107540048,90.0,199025.1680916411,41940.5,3.4003720249269715,1455
Southern Local,Perry,105.7691268885955,72.5,115882.56124181423,36822.5,2.353912480027097,584
Noble Local,Noble,105.61569756409826,84.1,232173.47535505434,41875.0,3.0447867261527586,1050
Stryker Local,Williams,105.58703997828528,84.6,189389.73801285223,40421.0,2.8409609439042853,406
Lowellville Local,Mahoning,105.54161020287648,81.0,135754.20905204187,41173.0,3.34527474857174,442
Adena Local,Ross,105.48779251914956,76.5,169426.1829080011,43265.0,2.411487799716551,1101
Clermont Northeastern Local,Clermont,104.90866197186013,81.4,201877.81967447855,44318.0,2.2584942504172036,1298
Stow-Munroe Falls City School District,Summit,104.82078962403631,89.7,195816.5032246665,50008.0,3.8668014775433983,4981
Northeastern Local,Defiance,104.77755777514714,93.0,250092.14770423903,44501.0,3.4201174916239543,934
Greenon Local,Clark,104.56174508686394,83.2,170881.94839688865,45920.0,3.282403456351087,1551
Midview Local,Lorain,104.50473522423682,90.4,221996.0923805259,45149.0,3.071981722770664,2567
Bridgeport Exempted Village,Belmont,104.24664655660692,81.1,135377.1365383603,35116.0,2.4999970849850324,743
Madison-Plains Local,Madison,103.94775681194253,88.5,294584.96707495995,44957.5,2.517955727714163,1070
Galion City,Crawford,103.72068399658154,78.7,128531.1540901934,35392.5,2.5413881953205593,1516
Oberlin City Schools,Lorain,103.6826969904553,82.1,219416.6020383652,39552.0,2.724611207300498,771
Fairless Local,Stark,103.55523757555427,85.0,200963.8526997515,39204.5,2.913915237021989,1215
Claymont City,Tuscarawas,103.37402754992529,81.0,116167.5434410353,36574.0,2.4209281277965413,1581
National Trail Local,Preble,103.34132385090334,86.3,195344.98680738788,38457.0,2.2559118296143046,868
Lisbon Exempted Village,Columbiana,103.22986681722143,78.1,129992.30224321135,35339.0,2.3092619531068093,706
Elida Local,Allen,103.08754267440892,89.9,178462.20384898453,39419.0,2.7019689428024893,1997
Southeastern Local,Clark,102.6757279434054,86.9,213651.6765285996,42740.0,2.70908910638559,685
Franklin Local,Muskingum,102.29404928556791,79.1,171380.31952633767,39599.0,2.694128899679172,1767
Carrollton Exempted Village,Carroll,102.2256458163187,82.8,207316.7375803851,38343.5,2.457330095269045,1750
Bristol Local,Trumbull,102.03820406257904,87.7,151035.5364442321,31772.0,2.779030711229347,446
Southeast Local,Portage,101.89232979930556,83.9,198059.49518605255,41908.0,2.724669357608638,1396
Hillsdale Local,Ashland,101.85213488376206,90.3,205973.65514242227,42054.0,3.7783369798722495,840
Bellefontaine City,Logan,101.31329344412183,82.2,138428.84332458052,39996.0,3.2199397524362237,2181
Mogadore Local,Summit,101.28109871953093,89.4,173216.85959417134,41760.0,3.5961480214855053,720
Fairfield City,Butler,100.58461139158477,84.3,192003.52712599013,43795.0,2.8179132432851297,8857
Bellaire Local,Belmont,100.07292359046104,88.2,165354.53733343259,35852.0,2.6063338696101166,1119
Madison Local,Richland,99.85513344557422,81.9,123991.04346436562,35244.0,3.420057490614834,2650
Preble Shawnee Local,Preble,99.82420642499928,78.5,176531.10881124873,41977.5,2.20296423635899,1287
Fremont City,Sandusky,99.58805290732359,77.6,151666.27125967245,36282.0,2.3686758035923323,3132
Logan-Hocking Local,Hocking,99.48194332250577,86.0,210179.80686754658,37356.0,2.4427266123959175,3434
Waterloo Local,Portage,99.11065746115122,85.3,202368.40301826267,43026.5,2.654173188413255,806
London City,Madison,98.89451648950575,80.2,214407.07093869214,43310.0,2.318629936214436,1995
Tri-County North Local,Preble,98.823494886188,82.5,200759.70858409884,42588.0,2.9689539604045363,709
Oregon City,Lucas,98.61444203652918,88.4,190703.21027287323,43238.0,3.3571923950064253,3287
New Miami Local,Butler,98.60203908666911,68.5,128224.87734487736,34366.0,2.240634515872141,589
Wellington Exempted Village,Lorain,98.58509666332597,82.0,216962.12811578668,43055.0,2.547294827380191,865
Amanda-Clearcreek Local,Fairfield,98.41547429167046,79.6,209888.07867083218,45720.0,2.2900669398307207,1518
Franklin City,Warren,98.2929014339031,84.5,182383.05205381953,40931.5,3.530114053289933,2553
Vermilion Local,Erie,97.72835196917603,88.3,236152.98525821776,40666.0,3.4011252523511866,1651
Struthers City,Mahoning,97.66616344369291,78.4,105630.12855332247,32982.0,2.904013226302185,1607
Dublin City,Franklin,97.64948911644002,98.0,328852.48870990414,64653.0,4.694718809137523,16149
Perkins Local,Erie,95.83195964328303,86.6,262431.5915355927,41792.0,3.522884532847553,1850
Sheffield-Sheffield Lake City,Lorain,95.81343717055819,85.6,212837.34234605558,43281.0,3.56736152822287,1528
Brookfield Local,Trumbull,95.18211230220443,77.5,118678.1134379827,34808.0,2.669185343670848,962
Southern Local,Meigs,95.1732355885342,77.7,141693.76440092167,36745.0,2.1939422644912168,683
Maumee City,Lucas,94.97889418251408,88.1,191903.0745275242,44143.0,4.504677843850843,2079
Newcomerstown Exempted Village,Tuscarawas,94.51092226939616,80.7,139481.67236954664,35215.0,3.3304566016089554,871
Kettering City School District,Montgomery,94.26535230287077,92.0,171210.23907571536,42893.0,4.840483941823442,7718
Clark-Shawnee Local,Clark,94.15416735334769,85.9,195623.01956686933,43069.0,3.53615077527439,1700
Trimble Local,Athens,93.97655346794134,66.9,85339.60563380281,34375.5,2.370302587978794,730
Licking Heights Local,Licking,93.63029611758321,83.7,228212.2883674654,48460.0,3.2448095662934695,5132
Canton Local,Stark,93.42064976115131,81.8,192612.58950948803,36967.0,2.84006236071429,1779
Brown Local,Carroll,93.41604011458945,79.5,233457.08367854185,39701.0,3.185768807607401,566
Geneva Area City,Ashtabula,93.35548693806568,82.5,186442.3023949805,37288.0,2.3521760773947684,1972
East Knox Local,Knox,93.11311658568309,81.2,330137.6385819964,43984.0,2.497975667768695,898
Coshocton City,Coshocton,92.81341833705454,80.2,118105.65808152505,33666.0,3.131794078755687,1490
Ridgedale Local,Marion,92.0777357851492,78.2,217744.1272812354,43449.0,2.872253479096518,617
Berea City,Cuyahoga,91.27385589261391,85.5,202542.06559693624,43626.0,3.5750704386219043,5189
Heath City,Licking,91.10557215541176,93.1,226305.44885585763,41110.0,3.4121451460295984,1589
Grand Valley Local,Ashtabula,90.7249774479108,78.1,189839.13894324854,33005.0,2.2824681617771563,804
Gahanna-Jefferson City,Franklin,90.71111753712897,88.6,275808.76393504575,56218.0,3.5383677155981688,8093
Lordstown Local,Trumbull,90.49413665054628,97.5,254738.65401913485,38440.5,3.453863646473402,399
Deer Park Community City,Hamilton,90.07261244395042,85.0,161183.80757742494,46743.0,4.111782038463646,1077
Indian Creek Local,Jefferson,90.03300567749092,82.9,160755.09159214073,38606.0,2.6016139991721166,1949
Westfall Local,Pickaway,89.97885199559727,82.6,268281.4746083295,48506.0,2.433771413563905,1288
Madison Local,Lake,89.77569785401447,85.4,190899.55362107037,41754.5,2.416534158408852,2612
Willard City,Huron,89.74968738176703,80.4,166749.19517102616,36251.0,2.7808155128605034,1197
Worthington City,Franklin,89.52722764165581,93.6,279584.9910032885,58731.0,4.833281308501757,10564
Mount Gilead Exempted Village,Morrow,89.4611826037697,82.6,206958.36690424546,41094.0,2.313485239171271,992
Piqua City,Miami,89.36518599925175,81.5,134422.66489711247,38508.0,2.9414054513881447,2911
North Central Local,Williams,89.31295142354078,81.4,224967.95404208198,40369.0,2.899425985984333,559
Berne Union Local,Fairfield,89.16237761552236,85.3,182986.82042833607,42931.0,3.496736151823888,816
Edgewood City School District,Butler,89.03270550131734,79.3,156550.91451471963,45360.0,2.995867477573562,3286
North Fork Local,Licking,88.98329069383523,82.6,219810.06013085748,43020.5,2.282310916984191,1448
Sebring Local,Mahoning,88.94635005306397,78.9,105256.9299779518,34152.5,2.659137038659022,368
Buckeye Local,Ashtabula,88.7506412040973,82.0,149796.09011739923,37650.0,2.894915732661716,1618
Belpre City,Washington,88.5777039985168,79.4,160065.5822271133,34901.0,3.216293386316215,877
Jefferson Local,Madison,88.51685854199967,85.1,250879.15147497517,44291.0,2.9238855622692834,913
Delaware City,Delaware,88.42443284514076,87.2,219865.63648042962,47342.5,3.9073101098805525,5453
East Guernsey Local,Guernsey,88.36336013144988,78.1,282703.03189165576,38144.0,2.291224390009465,1035
Streetsboro City,Portage,87.74834875952389,85.2,230469.8869475848,46498.0,3.2095347617654513,1907
Woodridge Local,Summit,87.45953802087632,83.3,205143.9983217957,43557.0,3.863476455102524,1882
Washington Court House City,Fayette,86.88512953467078,79.6,145647.52360073375,35547.0,2.258804901434821,1853
Morgan Local,Morgan,86.87072814393926,81.3,167568.0318629293,36139.0,2.321841843937164,1625
Westerville City,Franklin,86.55634093596511,89.1,246317.18800519675,51479.0,3.665372594359549,14161
Fayette Local,Fulton,86.37398861748864,81.2,178090.10221889804,38610.0,2.713315143739949,362
Southern Local,Columbiana,86.36276321671971,72.1,160439.90909664796,38707.0,2.6908342709729163,794
North Baltimore Local,Wood,86.14428910050226,80.5,191145.32247413605,39789.0,3.3197626371125764,582
Elgin Local,Marion,85.92984143852448,80.7,182874.06842058006,41387.0,2.8512700469388745,969
Rossford Exempted Village,Wood,85.85762134532247,80.9,183456.8326727555,43519.0,3.5942761980830866,1561
Salem City,Columbiana,85.74773418724556,83.6,137583.80624350774,35954.0,3.0091652768776953,1909
Conotton Valley Union Local,Harrison,85.4222524427009,90.1,321941.8936191132,41912.0,3.048051283174117,493
Scioto Valley Local,Pike,85.39296523655669,73.1,145276.66966157535,36793.0,2.320068980461146,1166
Pymatuning Valley Local,Ashtabula,84.59589516005461,82.3,202147.76933316162,33110.0,2.5193697552056236,1071
Wellsville Local,Columbiana,84.40842928623485,70.1,86762.11790393014,33252.0,2.4270148515217085,643
West Clermont Local,Clermont,84.38937504613591,85.1,168635.92002604608,44640.5,3.2846071620973265,7703
Greenville City,Darke,84.36314385059778,83.4,179504.80517022256,35609.0,2.300050719744993,2332
Rolling Hills Local,Guernsey,84.27147213837517,75.3,194626.98353092646,36983.0,2.556606740753519,1447
Northwood Local Schools,Wood,84.11618733927749,80.2,181482.9565120304,44042.0,4.309106992624842,800
Martins Ferry City,Belmont,84.03864693979561,80.5,145102.03985458464,35938.0,2.611248373142613,1302
Western Local,Pike,83.92528373881268,72.0,136153.8900276268,31637.0,2.301120369456417,674
Wynford Local,Crawford,83.91570871769913,84.4,228689.53775917826,39727.0,2.882804971641272,1051
Union Local,Belmont,83.69619087191069,79.8,243747.37430948886,39981.0,2.4066819996617634,1311
Port Clinton City,Ottawa,83.33503180711642,87.0,446871.8753773699,37795.0,2.4423039747770736,1409
Fairborn City,Greene,82.98863018320101,79.8,142055.9292900855,38107.0,2.8180845400535395,4159
Coventry Local,Summit,82.54116218842313,84.1,209439.5448263949,41108.0,3.412102996959685,1381
Gallipolis City,Gallia,82.23565663338105,78.3,160798.51729015267,35087.0,2.265635539804262,1843
Wooster City,Wayne,82.12014438175046,85.0,195382.81842493915,39741.0,4.195735374383724,3195
Hamilton Local,Franklin,80.65821450068235,83.0,220070.4071230939,39742.0,2.3848628083219876,3123
Newton Falls Exempted Village,Trumbull,80.38706786693885,75.7,116495.2827346078,36319.5,2.9955310069874836,829
Cuyahoga Falls City,Summit,80.31467176557695,80.6,142728.089569161,42891.0,3.5995028033237335,3860
Kenton City,Hardin,79.87548308800218,77.0,167005.65627266135,36257.0,2.3980023724132478,1760
Bucyrus City,Crawford,79.7309988643973,73.2,105264.79335039835,33843.0,3.245353285859895,1032
Miamisburg City,Montgomery,79.69226073694307,83.3,182560.40822561525,44533.5,3.4377287726668446,4829
Danbury Local,Ottawa,79.68985681857002,92.0,840669.1013744852,41318.5,2.2531811917122777,522
Lakewood Local,Licking,79.64463506017556,84.8,315088.36571428576,44308.0,3.020564538541308,1625
New Boston Local,Scioto,79.22824847998847,78.0,144875.83056478406,27242.0,2.967648275174843,356
Dover City,Tuscarawas,79.18732553190816,89.5,179680.73625819467,41955.0,3.393377977935609,2588
Wilmington City,Clinton,79.01522245867348,78.2,218609.20440118495,39764.0,2.239272450460299,2081
East Clinton Local,Clinton,78.63481798354562,81.8,193192.25663716815,40316.0,2.2424567294391053,1120
Zanesville City,Muskingum,78.61324200007726,72.0,149016.24822418627,31300.0,2.6254085154694176,2947
Lancaster City,Fairfield,78.19505238712104,78.7,166305.59359772824,39303.5,2.4463764259872325,6189
Portsmouth City,Scioto,77.9727468575927,65.2,107936.75520459442,29872.0,2.3676394660922813,1542
Reynoldsburg City,Franklin,77.57670321318419,71.4,174687.80904257536,40977.0,2.5691372990412202,7209
Tecumseh Local,Clark,77.40962908679244,79.5,128696.25993454886,39723.0,3.010095404839613,2558
Willoughby-Eastlake City,Lake,76.32248379594601,81.6,184165.75104779867,43729.0,3.875296422877412,6704
Alliance City,Stark,75.72763014215387,72.6,124661.04642736365,31805.5,2.7166562806468715,2862
Ripley-Union-Lewis-Huntington Local,Brown,75.68961209378047,78.1,174060.06481023782,34614.5,2.3566099660687625,698
Athens City School District,Athens,75.68892460035464,86.2,189145.92959961292,33590.0,2.960424212296741,2288
Wickliffe City,Lake,75.58638590513162,75.6,170102.85119401716,42604.0,4.1333520089246205,1266
Walnut Township Local,Fairfield,75.33553913328677,84.9,326582.0813716535,45346.5,2.7980038848003,472
Kent City,Portage,75.30196758518228,87.4,191102.20793676036,34359.0,3.717264670570413,3028
Hamilton City,Butler,75.13411528016915,76.8,128321.04620021793,36031.0,2.2682681369409483,8760
Springfield Local,Summit,75.06135826184902,78.4,177738.63362210768,39011.0,2.989673102684099,1724
North Olmsted City,Cuyahoga,74.86118439861002,85.5,198658.53386618185,45062.0,4.47883381954041,3450
Cambridge City,Guernsey,74.08268348604679,69.7,137447.01185277605,33753.0,2.656028133499694,1809
Caldwell Exempted Village,Noble,73.9940097830838,73.8,150981.99460916442,36824.0,3.224924221042016,756
Hilliard City,Franklin,73.31875658305573,88.2,273038.9094440428,57610.0,4.437995544710286,16007
Cardinal Local,Geauga,73.30210620733197,82.3,203466.83862647106,24759.0,2.5291207976836896,723
Conneaut Area City,Ashtabula,71.52138906553095,78.5,145653.87785097506,34593.0,2.750734729905177,1553
Circleville City,Pickaway,71.18188351426753,76.3,176401.59718756104,38306.5,2.800443922517163,1960
Niles City,Trumbull,71.13147933698598,81.0,99860.88565635761,32464.0,3.123643445927177,1902
New Philadelphia City,Tuscarawas,70.89077493613422,87.9,161896.0076408787,38663.0,3.3267271532832576,3010
Marietta City,Washington,70.48985142695501,75.8,168474.29930031928,37175.5,2.862729605142487,2060
Harrison Hills City,Harrison,70.3630666011542,76.2,282227.19603231415,37911.0,3.0626755389461824,1335
Perry Local,Allen,68.75932365489045,78.6,280192.7738314479,36640.0,2.7139988518684977,668
Princeton City,Hamilton,68.10284081338732,77.2,274399.9547877078,43534.0,3.3972437066023384,5744
Parma City,Cuyahoga,67.49221240076,82.2,155847.96371882086,41201.0,3.862671098829577,8927
Federal Hocking Local,Athens,66.38584007152387,73.6,171557.14285714287,35762.0,2.3173318952453568,814
Springfield Local,Lucas,66.21802075343135,78.5,200345.69188183342,42957.5,3.2860023327088728,3249
Ravenna City,Portage,65.65784750609996,71.3,139234.92852703543,36345.0,2.7841201148383945,1939
Xenia Community City,Greene,64.08074022814814,76.8,177810.0280800281,38278.0,2.9822733058706903,3657
Brooklyn City,Cuyahoga,63.83077791020316,76.0,174292.42452135493,37899.0,4.609674086940028,1026
Northwest Local,Hamilton,63.63247242177537,73.0,167948.66349595343,44466.5,3.22559737972447,7827
Gallia County Local,Gallia,62.421252099953215,75.9,166951.97393822393,35734.0,2.199999611162362,2067
Buckeye Local,Jefferson,62.18773697803409,75.6,206742.36823467593,39350.5,2.544133107951506,1329
Nelsonville-York City,Athens,61.96029680926021,68.3,109819.66315594118,32838.0,2.452675091551964,1034
Switzerland of Ohio Local,Monroe,61.46511516174641,76.7,243925.512696259,38613.0,3.0957865670959492,1940
Richmond Heights Local,Cuyahoga,61.370849576934226,64.9,189157.31461114294,39801.0,4.188506416504035,790
Bloomfield-Mespo Local,Trumbull,61.09601084162591,75.0,160582.11117146479,17177.0,2.54882786406672,208
Painesville City Local,Lake,61.03397662645855,67.2,102124.41010177159,32675.0,3.1715151201280407,2631
Mad River Local,Montgomery,61.01602465932031,76.0,99502.00890498831,35698.5,3.5303117220469153,3719
Shaker Heights City,Cuyahoga,59.999677925072625,85.4,238891.9497504063,53995.0,6.865158423598322,4420
Sidney City,Shelby,57.45431542152676,75.5,165508.85823500084,39208.0,3.0263492743605886,2988
South-Western City,Franklin,57.44073037367696,76.3,201863.98724356026,42178.5,2.7020089943730405,21829
Clearview Local,Lorain,57.043132426372644,67.7,144497.99022270506,31584.0,2.9061885267691,1272
